"l","m","n","a","omega1"
0,0,0,0.05,"0.000075995000568090404726266985307932515327236612849597978197245510196818 - 6.30223467378980817820121012354341589093619681099193094402028542815e-7i"
0,0,0,0.1,"0.000305927253777502672893789147110936613907283020414132015876098338242915 - 1.717227845799485315301146143056347264132146936387853815641852464636e-6i"
0,0,0,0.15,"0.00069574906059252434888873724719681568636044214677981341578107950480102 - 7.7931406583965145839274302121402537480319311378735451957821999217e-7i"
0,0,0,0.2,"0.00125576237507217047161159877760827853775084209284588562290575870777648 + 6.56514662958633728356168295102466769647863860902064615304632618305e-6i"
0,0,0,0.25,"0.00200123908557702601490389840378833505563722579754376281316923943955103 + 0.00002700241429849495934998872988429934061799821661900034082213338015987i"
0,0,0,0.3,"0.00295339634899957417063330056659244763859498820723203372418347035083029 + 0.0000701717966720036683073294807534360183960944038969719348979893931243i"
0,0,0,0.35,"0.0041408627799232746796246694700036822056110443702695655872409934576752 + 0.0001496635604701043181326309225031614529783980870114164279996413321789i"
0,0,0,0.4,"0.005601863115422852036282806943787086370881543668266648970727496852499 + 0.0002845471201179424582639823431942998360108021643886201279667834824196i"
0,0,0,0.45,"0.0073875080803762609019710782818587493088170625699079792477376997584941 + 0.0005017442467946593159598650419331022443321213838583369827819040500652i"
0,0,0,0.5,"0.0095668673907634008819611493813769626574376904835867470834560433356944 + 0.000839816345059449520638731661748830102794751239979534025138554348075i"
0,0,0,0.55,"0.0122350667781188394840820232217140346689676099175534758760133788294933 + 0.001355249972873912531055815159959161319345044569360509423235474768729i"
0,0,0,0.6,"0.015526803913192125583356398940756095084128508671121489706383711495678 + 0.0021334491217162684022153519031285731112478115556207808991396081579692i"
0,0,0,0.65,"0.019640202072427703080746192523001717383420476862147308313725315802781 + 0.003309325806775999996151900669725230955201749536504202887144422341983i"
0,0,0,0.7,"0.024881850344559500154837199175694113157815843114616094772176685823235 + 0.005109519872382832236570668639767334356266984603255375344898873206098i"
0,0,0,0.75,"0.031758907139673279137454573463914728652864573231547003803858099613236 + 0.007950015569940526858812356286731850401535699145339543417066672145099i"
0,0,0,0.8,"0.041184628105707702369104243396929610761669699070750414534882036984673 + 0.012701278615424627969483926008124600508258261781852087132674758730106i"
0,0,0,0.85,"0.054965108681812491351570097314873683955832014147087051439202482058783 + 0.021584711697076996994839448898652623635980215380067089849937443108754i"
0,0,0,0.9,"0.07663172982265070841655473168449721154605635353239141321973705364848 + 0.04227904062349017830132354103927549733478124392305799029485197379736i"
0,0,0,0.91,"0.08221178130143656492957832843752733583603034883403199325817204374761 + 0.04988721139000481738894457861044040229074355339927676142673047011698i"
0,0,0,0.92,"0.08802840040681818786316108692077556496934178556968517249032687973812 + 0.05975079794806104520631583700049132880238332928862805273448351655703i"
0,0,0,0.93,"0.09361139773771686714593483173572617332843198582989600303673427744727 + 0.07279093940822315800466178638185331460321691325090256797120536518091i"
0,0,0,0.94,"0.09780577985340807262370589518782025458421626531817393825351310183972 + 0.09027587164640974146636246690561275408247834197421230321930032157957i"
0,0,0,0.95,"0.09793217892809162445740404560628981200500389873055724475161088962957 + 0.11361869167356006820279558262886089467909270646044727748990795435866i"
0,0,0,0.96,"0.08822052358704637982182919768580556214639291352012559689277972067016 + 0.14291089884732456734437261026437752499876213656424582144356220434175i"
0,0,0,0.97,"0.0590620613907501277398754286440879652463135022625580022556135415497 + 0.1710374722141195993471525195119210792963804030408026847547730106047i"
0,0,0,0.98,"0.0111726462192409000959028610603049686295246539197177941117936836883 + 0.1719117779279970365550042216465149787396413671584913211167433688778i"
0,0,0,0.99,"-0.001134193047246772892119512906439864874446522134458689511555265194 + 0.141115960459259275687775550535169809837132570290761309784235519008i"
1,-1,0,0.05,"0.001352401744989609131299261020414894692228739746157627002976427660625875 + 0.001990237182722830635377449819218306544812896158557047521018286969519141i"
1,-1,0,0.1,"0.00258922780603677874734636111532028522238430039125550376523782387718216 + 0.00388181671124462035428899326843368175557954261117800661400214721158567i"
1,-1,0,0.15,"0.00370577186274771591354850344003618776161288434914728337596082374800849 + 0.00568923104484827571386876289308714739193427339051899351636900635133492i"
1,-1,0,0.2,"0.0046958178363450696273370433381138629769926778420462373898095277974423 + 0.0074242342367059086053822113944352958485291821068833501953262418356384i"
1,-1,0,0.25,"0.0055514869601491739393627550510189491615780542288973133809598827625987 + 0.0090959727160182346963151629438168329893606340137725908426682350985543i"
1,-1,0,0.3,"0.0062630449787530947291453860423477910934446023528535989624738566208319 + 0.0107109086830027431033520337834656392295122575422821695904905637902807i"
1,-1,0,0.35,"0.006818691324044738555905952727665696018496811293331692051087127050472 + 0.0122725161765742175657143136208741393875003338492727365484565613544566i"
1,-1,0,0.4,"0.0072043665911352464304848535312506145389884270965501343089692997340287 + 0.0137807063990482568671359188824668216970028845325456828390933882075219i"
1,-1,0,0.45,"0.0074036439739793251193247227902351346065305830866935960332485225394432 + 0.0152309138535119468686977252562648580857541923977678462574649000907473i"
1,-1,0,0.5,"0.0073978246021075791599835740549852781108542053592601952456982749432973 + 0.0166127500270920521587040000103094249525582722609312175605812636712245i"
