"l","m","n","a","omega1"
0,0,0,0.05,"0.00007599500322727244809062992786062179647663852340735989555389127246303 - 6.302224501825754659848566418947297168531944620322706172169902678e-7i"
0,0,0,0.1,"0.0003059272649522320293683782560557703223717320070046903070404432864432 - 1.7172248343830476138522943503924116958784930060305121610062229137e-6i"
0,0,0,0.15,"0.0006957490872411001352693923625183949705215385064859704323566236221696 - 7.793116207373717209838798503573410867319846112218680426025860389e-7i"
0,0,0,0.2,"0.0012557624239730603649403636067120069298025985994598574833758539028603 + 6.5651391270681304922873300140528336229777723297996348659360629119e-6i"
0,0,0,0.25,"0.002001239158120139869304691793736535965131431402930311116448765186183 + 0.000027002377315020364464563613974855701996010051031971758488369945991i"
0,0,0,0.3,"0.002953396429689792660988636719634866046730570364732144517209676738628 + 0.000070171700834225727392070303877374402054881321880006533738626958194i"
0,0,0,0.35,"0.004140862819175099820620966360877521633897386813361575577031629626293 + 0.000149663379514968777410641469480458987781476751448315927439607755647i"
0,0,0,0.4,"0.005601863019273831549299624215126031711145543211049454198179094718331 + 0.000284546870434813946141299778388100555718702111738106832055173504747i"
0,0,0,0.45,"0.007387507747293165160838737064776120791681238214443686771280652303005 + 0.000501744057772143734629664173095524997712834123293990084026999945952i"
0,0,0,0.5,"0.009566866864654166802877869727348345520615677486461100176299446338032 + 0.000839816502598232109128837793466790874018811420135719085649166065689i"
0,0,0,0.55,"0.012235066516762790481442584605549638524792915740581285702917477057311 + 0.001355250726575174685661368297901240492202130539381680856314325297875i"
0,0,0,0.6,"0.01552680474616937316467135955882880404097906606410606402066836616931 + 0.00213344996930305898309578008013770692322462460370350681612979932339i"
0,0,0,0.65,"0.01964020367627316934239129268915854327999724814432073262864874601755 + 0.00330932489662776349834800638421520859651609177544280452987418571989i"
0,0,0,0.7,"0.02488184886797668755073733039437513085676605761177941219347042605439 + 0.00510951720830899590504764951586489405037197083961813497835096897952i"
0,0,0,0.75,"0.03175890337588989702072354149023795705839092270819421542870298596867 + 0.00795001962702387301359864138377616719065270940376598546827867214402i"
0,0,0,0.8,"0.04118463979280860094068079710071361216241465089033326242766342892468 + 0.01270127839960402955407655052350046752000640993760248512578259677224i"
0,0,0,0.85,"0.0549650770282768284973436445604016989626947956572605584892072382018 + 0.021584707921730331105421347346928511038646545098852967497738405322i"
0,0,0,0.9,"0.0766318221115119459140820909983366073469950323063099518084748659789 + 0.0422789325698707695481419947779383428988228726202471800034115830725i"
0,0,0,0.91,"0.0822117119293575752124990702447875148536342776973676697150497987807 + 0.0498870106809515118228650160229541630731951385743798053370541970671i"
0,0,0,0.92,"0.0880280675435884858900025542538265315910303490810413404407466295629 + 0.0597507664387462719470247621016524696236508782531254156012725383416i"
0,0,0,0.93,"0.0936111820878485329420453740992927123350832438405994601014084948223 + 0.0727914581681843769882423794821692362064492986540179412014974877447i"
0,0,0,0.94,"0.0978066631161613478656700394631785487831988809954401995787220005719 + 0.0902763922788269636296852784216276547805402244854827942606708953028i"
0,0,0,0.95,"0.0979331039647591851321893525970077288665796936222546783294907711833 + 0.113616824811328429060584295523983153423259690806150197680907745408i"
0,0,0,0.96,"0.08821564474795859875618934433620314600326016077219281164837835512 + 0.142910442304150656603733547892749296624870907974853697281352374434i"
0,0,0,0.97,"0.059071422477881437758615143743568906884792376347473416008882065342 + 0.171048323125890194458741824591218979564675424016061821114295088198i"
0,0,0,0.98,"0.011134861954490074553023545901774851911921699658464372513448503262 + 0.171868455778473335986125953142989166778277798215007473520907007602i"
0,0,0,0.99,"-0.00144920573658261527373324361082876768102751523669612635512168658 + 0.14073413537746183062133933522381453029451475744804061688167594009i"
1,-1,0,0.05,"0.001352401744989609241188297034405321977991990436477080190413106076993 + 0.0019902371827228305890822184361424094815717519704720329575146975865345i"
1,-1,0,0.1,"0.0025892278060367789395248959083221594077673012755080422467012745992433 + 0.0038818167112446200560801273612586720000523606503974364845370268446007i"
1,-1,0,0.15,"0.003705771862747715857702887945182231186622574505657043898805591521468 + 0.005689231044848274898697185639468238518288719688996988158118263557974i"
1,-1,0,0.2,"0.004695817836345068445487249826347596864956503056740139158545909238659 + 0.007424234236705907357368042379039320883657728124648013856462554651882i"
1,-1,0,0.25,"0.005551486960149170467179923477337631971263110647030753761963482634986 + 0.009095972716018234469186756622393544265794774842406580483541973750079i"
1,-1,0,0.3,"0.006263044978753089636002141199305675398152305760471306182241950591313 + 0.010710908683002747834711005587262626278218450786110122718012659149612i"
1,-1,0,0.35,"0.006818691324044739503505462984346907402967991566691704779148411796131 + 0.012272516176574231457668849819871388536128696106592585387568538629777i"
1,-1,0,0.4,"0.007204366591135270924795266584225185542309518445240280574661861701775 + 0.013780706399048271051603944465185532828025240519382979308196515219949i"
1,-1,0,0.45,"0.00740364397397937534753393105468840872819992638648581454172627877919 + 0.01523091385351191583243284683012900136015808060767035310807713262107i"
1,-1,0,0.5,"0.00739782460210755654524569519007696559107986824432115779320782237976 + 0.0166127500270919263241619302080263602968041425595731559519290782989i"
1,-1,0,0.55,"0.00716645316862269666227302289284248494404423659053219421201596470801 + 0.01790811539086385478272500186108845992368309341584381505267348721273i"
1,-1,0,0.6,"0.00668863604923270295819951255701447472309015767868970715915015477672 + 0.01908867886319602112050894844689478930860550666995802503854695598225i"
1,-1,0,0.65,"0.00594581561225620511140666957467986945342163379562079146155087636874 + 0.02011275206359513487939257449383255114245380988360944059304113968326i"
1,-1,0,0.7,"0.00492705619620195804925053937291304602442105665335689634525706191796 + 0.0209219598777446737050830199454572803887180795979332908997751013926i"
1,-1,0,0.75,"0.00363834285474900004475349124422839474420152784344707554724460127302 + 0.02143908342418274880046762097639365684577294171155385866322683139103i"
1,-1,0,0.8,"0.00211732221261534522951673354365806549017265276427779071288360560969 + 0.02157067468395255923229109427928588498021332036393210393487503743478i"
1,-1,0,0.85,"0.00045217661235620671760523753643104490127109524002310228788043497531 + 0.02122219078062089598007177954774538397572633712884527152055808715805i"
1,-1,0,0.9,"-0.00120815255403410060765730744581922072883004075633785237161933341556 + 0.02033721582095674422187173759810217831895610030941978313288912612597i"
1,-1,0,0.91,"-0.00152380053723310616203505427593163271755852399411330580307378788485 + 0.02009725980351215619735623112431042093732862545166968575567273974814i"
1,-1,0,0.92,"-0.0018309116906677518404259216703666811724585157032513566691569450342 + 0.0198380893417634593180507112136787215455758960347286181216909803869i"
1,-1,0,0.93,"-0.0021285625528712827602343265429834023234701891893683430129476719823 + 0.0195608942457086446444518127010250866391212994304643438232937436911i"
1,-1,0,0.94,"-0.0024161754724280824853020870197419268560645869071593817337793243139 + 0.0192670235864206651120129732650928904027053488038247746435589832739i"
1,-1,0,0.95,"-0.0026936254756665927218040231969447580493478872297502863999646966411 + 0.0189579185552715438352701985682385103153410146993509587739821412681i"
1,-1,0,0.96,"-0.0029613788636808151451880266806975102642881807987365512830952639145 + 0.0186350167984892389359872011602656828606219887291264560076375534162i"
1,-1,0,0.97,"-0.0032207110891683236298572457574188544693858586703220011776220577885 + 0.0182996132259920345425302198776861975105173094245296556507621550649i"
1,-1,0,0.98,"-0.0034741459995770647954515848814013576230422147371721975786104264828 + 0.0179526207253177654622101092671499536846616247521864318771334556647i"
1,-1,0,0.99,"-0.003726647309182711445640272354371242872366348538397324978917949769 + 0.017593982650274148281096415105228372379252642550903011649551935887i"
1,0,0,0.05,"-0.00001199334453944276003362238150275437154804825984273285159262450042037 + 0.0000244643927384806316913941298905356032278797335593540560439140195347i"
1,0,0,0.1,"-0.0000472240986936043342455783510437671447202353096004149263299528671962 + 0.0000982109729449992674359926787440191212845184614124329238351934759779i"
1,0,0,0.15,"-0.000103382349705091535475785057664897303756189487251538287998842611497 + 0.0002223228812950695170602801192839190539715354239781080206794700986391i"
1,0,0,0.2,"-0.0001764036356666180892302266367684327911693769259043324245898247100808 + 0.000398685238601933612826510186936256948844104138510801435311818774387i"
1,0,0,0.25,"-0.000260118645642157319916805705733413075504268584768143156186225219062 + 0.000630117859898583414784320287761143116002192210939873626791543285287i"
1,0,0,0.3,"-0.000345700345903622160655322628163087117846085347398494611485459764881 + 0.000920590209282214898007900982262691572474053913870198790696612621012i"
1,0,0,0.35,"-0.000420831196292165883026348153959249134402698475504595661161242708154 + 0.001275556954806483980202789016645776036470615499144875513304740518847i"
1,0,0,0.4,"-0.000468464908074790144975269129771269435954760824060383413167919327577 + 0.001702480640238131141994484286498502532487250532052058480733843053943i"
1,0,0,0.45,"-0.000464978795332165072630796112376059825934044820273786517150908882214 + 0.002211658550269016867971355490150831436887322115677177663691776124279i"
1,0,0,0.5,"-0.000377380363914101659054622761898661554302762924926241207704849923293 + 0.002817566099954902308150824742658795671274217200328728706737628979193i"
1,0,0,0.55,"-0.00015900061645948578430540783387741256651379231340285453226762605178 + 0.00354111736135289786352628724522330877618939946863916147250928714115i"
1,0,0,0.6,"0.00025730966542401724034297296101264377849389411480952689244251642092 + 0.00441363542601578265530308482974347326122755669269840397560430913538i"
1,0,0,0.65,"0.00097023442303177625273936133539452704741316638374943542885406552507 + 0.00548419123913548447888239017888263170866907466058008446947778607712i"
1,0,0,0.7,"0.0021284991873011946099627356420251861230186576965357481328570993272 + 0.00683401507916642474127087139962257721000054319301641379280661180689i"
1,0,0,0.75,"0.0039627028571033804451738283131223719035690456613778777945611526992 + 0.00860690343938602452916101167267170515299701705380520966512136066784i"
1,0,0,0.8,"0.00684055470628035308503832592002225697224044500450088002894523860065 + 0.01107905045698098708211952505404290569359132021134997666286699245246i"
1,0,0,0.85,"0.0113562271965801598405413623244304214867887141499147745742160639261 + 0.0148356322632452234992935876888237319740853274710896554000302103243i"
