"l","m","n","a","omega1"
0,0,0,0.05,"0.05147472108410695236879076541643911490358818705149008236531688144121 + 0.001375103390703123543837186032102268685151656393572659498130530787032i"
0,0,0,0.1,"0.051489118476952416837495376909032177015581018294977811122656122227394 + 0.001570976625531986413804227757206751203950341012288572799182649061807i"
0,0,0,0.15,"0.051511152933379069332713285638910182417106755857962448531588874210458 + 0.001900147916091164284302335468395012765615639907798142004665291394481i"
0,0,0,0.2,"0.051537756691046539666122071380908835992642021922579451980627411756049 + 0.00236672816240933180411877347969300166824991626022310730561224293004i"
0,0,0,0.25,"0.051564375126741328780236890926874459365955457657891473232856684035708 + 0.002976537390251057358219448374442303711035583552552788090536309651028i"
0,0,0,0.3,"0.051584689903674885600139359580036345949833057971209584428305288198716 + 0.003737143662931489772459118557499917661439397948842667861322596741169i"
0,0,0,0.35,"0.051590243149338792118340526223406695388148436961043648981575482273052 + 0.004657864043352948516096704788516521265096147601894236263581902194289i"
0,0,0,0.4,"0.051569961410517191108773790688217311550552779678284550555598062960393 + 0.00574966419849004579374069668195103015432626821275051233200050647225i"
0,0,0,0.45,"0.051509609743192709495766781831712410776873861533269004409178797484215 + 0.007024836236652513428829597083013438223058084225854212039021833535462i"
0,0,0,0.5,"0.051391298076623567764502837200491078011910488084934111782523073622904 + 0.008496226067570917011151085469746325296165855453887120259295147488822i"
0,0,0,0.55,"0.051193412430123241962281719690838471240724258498038038891067556500056 + 0.010175575736754589728293422607639456431161016002852131297911054583838i"
0,0,0,0.6,"0.0508920246968595361027008617886845149096031440633623767529189344937 + 0.012070161465971828194793403328601404489243935595821322683145177899995i"
0,0,0,0.65,"0.050466740242886467917714194712023373075332627345126774272008594414837 + 0.014176237943682856578902224393313452282343750305172828255370905820501i"
0,0,0,0.7,"0.049919553291372743297254451633624670941955575996832485804038329320763 + 0.016466940581338818244797665509647335315501112288778999418237655585771i"
0,0,0,0.75,"0.049333035763046029307725057343130333136044141712314226977367971942116 + 0.018873299423991916355260355930872576611915510975616861513150485856527i"
0,0,0,0.8,"0.049055837713810200635154968462305670533726379521479072772098735722382 + 0.021276352655684536611225907140643247958208262496076202617865093550713i"
0,0,0,0.85,"0.05033979443980325508373201859731816938705320537989464871072336820083 + 0.02369622730562108458435118878181216789128443487008421584962675337837i"
0,0,0,0.9,"0.057617983016427822935325302197719343844437780741907421227156625691185 + 0.02843582759386165696316129005553617613399060410806088021243105726705i"
0,0,0,0.91,"0.06070785428750313601944630808422998084541474812452883191999514929464 + 0.03078708115251007365644240072987313600152462910356106890555813055771i"
0,0,0,0.92,"0.06459325028652742575263120014848521989563329517503567671162889474613 + 0.03443284491399121849933000811738293120466480687158238725665097876373i"
0,0,0,0.93,"0.06921135520112683503581674394609848254910281294515742802747905317259 + 0.04022862596076212481038462579141366464135471477570667145277227688821i"
0,0,0,0.94,"0.07401377825221419158571193173783195584925771463504483212319943914227 + 0.04954814319944353630583441942805541517118447328943807570742810722294i"
0,0,0,0.95,"0.0771152608945852164974007982000163759281199714977842641407376557163 + 0.06435264022473834960622325181283562233191164959662166654604621468841i"
0,0,0,0.96,"0.07334728407641262504846252685560728125131361407189801710102463526933 + 0.08622616155607950887783321196055507653312135089657522199282963278207i"
0,0,0,0.97,"0.0518652660055110104073642900073615363925799169445659779001697256444 + 0.1106491629619720845558096967754949941051047786060815190703931438782i"
0,0,0,0.98,"0.0078284151496725750276583394310570826734075506497244286001279017328 + 0.1110039358455526577306542526340644000553652574077857514505080044589i"
0,0,0,0.99,"-0.001060164259551303130160967928101641123419925302334521094824537373 + 0.072492414506614775582323816889201074760961696362174376280685671857i"
1,-1,0,0.05,"0.066979096437884902864758484659623808912281968928552252865678879162814 + 0.007098812389494801056224408406724158241236656553052406826909749085323i"
1,-1,0,0.1,"0.063184964875209392279576877853859911159789980570566588883767020457444 + 0.007274967487469188772715028423890181500860454616670489411053433202985i"
1,-1,0,0.15,"0.059524752927670083988640653547789918397737112625498449172662561725286 + 0.007513579639780250951867692684436124464482583540914302005181740259258i"
1,-1,0,0.2,"0.055979015375878552222778526967677595368555173121468032786287830649615 + 0.007813704490094288090521732470043869091138996051317354458932235186887i"
1,-1,0,0.25,"0.052527418687001175212002004225394520105917445077205408227944678584003 + 0.008172914108737147507440137383588253909060647219813812611280834775898i"
1,-1,0,0.3,"0.049148525383712510016030416051170337498184631362319211803627670908442 + 0.008586997365756252638520980629508361593861252423568032051611895208175i"
1,-1,0,0.35,"0.045819553120426964893646648484666219348420676681149790149954556015921 + 0.009049443964737014160366015804125861770252729757613853677128037343241i"
