"l","m","n","a","omega1"
2,2,1,0.05,"0.15875309882281352191734779091832026215617377356287669588180263489805 + 0.01835268940171020102516331360492088611121082855169331026977392531062i"
2,2,1,0.1,"0.16828076805204060890582656316181328157680354511013155273925080756365 + 0.01840488108790579165753404856189349208554879569012121472199242059543i"
2,2,1,0.15,"0.17813896368054947564780837521210575875587008748250549183134867072053 + 0.01852212885183789373715290396407161009165378937758724189954963743881i"
2,2,1,0.2,"0.18833559636121268385620432323403281997587592480724463269179493324737 + 0.01866103240389235462594124959153064251241494134307352859703078350866i"
2,2,1,0.25,"0.19886705648612039275863421938013745008931480106952369722734368563805 + 0.01875640948754429534497660039039143792947239337484485414565455033514i"
2,2,1,0.3,"0.20971210107463985963515420933506608982249530509611163978032224634542 + 0.01871166954470894261394311497987576229931148542425493510810712091958i"
2,2,1,0.35,"0.2208221170675073194368979580468398298273642033576910280171329582483 + 0.0183839207953189383446118273106179785676278511821169864715169182947i"
2,2,1,0.4,"0.2321053198996253483449897824254322880988109713202050513156954808291 + 0.0175604852532931937120209312838585704585865135100227011145857193953i"
2,2,1,0.45,"0.2434005002807560561549563523059834745971204244591706164132491464717 + 0.015920933576617192944966085602766782298586589610893461750178181132i"
2,2,1,0.5,"0.254432121062153830459688019627540892661799945400699693781222745507 + 0.0129738026212905079747025456101780796255295733586419841463432245003i"
2,2,1,0.55,"0.2647307334014823557632662615430961357406943905115135872780296369235 + 0.0079471164944684605797859084327746561190704437080759685384393943157i"
2,2,1,0.6,"0.2734856359196108710861945171551757726707169717554144124602343827293 - 0.0004097683423682279237145499414408433420950189385735272052141087362i"
2,2,1,0.65,"0.2792569656963430648146198467719055101330334838977040986926977672398 - 0.0142053066973672767303676863005537904233543429700671855523027503016i"
2,2,1,0.7,"0.2793736313533628048093136466872787201651980464336100297414370918715 - 0.0371835026400285918100713790279972436088862888775157738850976875754i"
2,2,1,0.75,"0.2685592102047104419955018809534048814866665453795148092942896940109 - 0.0764689782246661476730846749640429217212832553529106024960911585192i"
2,2,1,0.8,"0.2354061147704327524180686239611452842512684151798462871379169316489 - 0.1469826418540059492068640867245727261913381020484194252567201076661i"
2,2,1,0.85,"0.151693334203827305867615517125990359208316213123602489195342718425 - 0.284696808420041726905021838747677624383011141624176273612792983823i"
2,2,1,0.9,"-0.06956452434422738671355283390455069248596474657440162591278510517 - 0.598630809185957802016261349447903561528332886780671234181496869588i"
2,2,1,0.91,"-0.151402647487043841652311969733436302779387488193242926665492487662 - 0.708886803562072159336853125169509639638401151301991896000524522562i"
2,2,1,0.92,"-0.256646195584299896084301717853159843199178681089167183393818557194 - 0.848592188726538065105080615131462606870182266343148167013687966759i"
2,2,1,0.93,"-0.39493195503632165668511848893615937403187386628098589695438869968 - 1.029901830967810168265217009555189673789800580665648917042033997289i"
2,2,1,0.94,"-0.58179425827320928007658759523292932701610666720226904193005242271 - 1.27254513390243098792104811523868172861576537369093613466554192621i"
2,2,1,0.95,"-0.84398704942329104692025330605882569713099673107477322659890916505 - 1.61082080854779974575110943332495923879210989451580122561455142573i"
2,2,1,0.96,"-1.23194152927509307413205885778648519336803057154182180487201134223 - 2.11019739278779369618706868480235844119351173801778056124997165043i"
2,2,1,0.97,"-1.85408284426436847714887190823119221797328570438629938190991663693 - 2.91381652826106666869761336604936971385733224984245017124778940425i"
2,2,1,0.98,"-2.998763245193763701447597023209732322147008717086999039978584071 - 4.4112710500221624790787903843092817321210509949595913445723314922i"
2,2,1,0.99,"-5.8370813146844990276520261622578486195187693581163358205948859451 - 8.240921359802115209516469015444795769848000586767627642414472084i"
